date,ticker,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,investment_buy,investment_sell,investment_net,dealer_buy,dealer_sell,dealer_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,total_net,source
2026-05-29,00726B.TW,國泰新興投等債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00727B.TW,國泰優選非投等債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00728.TW,第一金工業30,55000,45000,10000,0,0,0,0,0,0,114013,107071,6942,0,0,0,114013,107071,6942,16942,TWSE
2026-05-29,00730.TW,富邦臺灣優質高息,129000,23000,106000,0,0,0,0,0,0,109087,106403,2684,0,0,0,109087,106403,2684,108684,TWSE
2026-05-29,00731.TW,復華富時高息低波,102000,0,102000,0,0,0,0,0,0,616213,516800,99413,0,0,0,616213,516800,99413,201413,TWSE
2026-05-29,00733.TW,富邦臺灣中小,141000,108243,32757,0,0,0,0,0,0,252068,73239,178829,0,0,0,252068,73239,178829,211586,TWSE
2026-05-29,00734B.TW,台新JPM新興債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00735.TW,國泰臺韓科技,501810,888000,-386190,0,0,0,24000,0,24000,61571,1099000,-1037429,0,0,0,61571,1099000,-1037429,-1399619,TWSE
2026-05-29,00736.TW,國泰新興市場,0,0,0,0,0,0,0,0,0,118000,101000,17000,0,0,0,118000,101000,17000,17000,TWSE
2026-05-29,00737.TW,國泰AI機器人,61000,0,61000,0,0,0,0,0,0,116399,60000,56399,0,0,0,116399,60000,56399,117399,TWSE
2026-05-29,00738U.TW,期元大道瓊白銀,153000,369750,-216750,0,0,0,0,0,0,5732068,637197,5094871,0,0,0,5732068,637197,5094871,4878121,TWSE
2026-05-29,00739.TW,元大MSCI A股,21042,1000,20042,0,0,0,0,0,0,12900,16937,-4037,0,0,0,12900,16937,-4037,16005,TWSE
2026-05-29,00740B.TW,富邦全球投等債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00741B.TW,富邦全球非投等債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00746B.TW,富邦A級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00749B.TW,凱基新興債10+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00750B.TW,凱基科技債10+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
