snapshot_date,snapshot_time,source_file,股票代號,股票名稱,收盤價,5日線,10日線,20日線,成交量,5日均量,20日高點,20日低點,量價異常,籌碼1日,籌碼3日,籌碼5日,籌碼10日,外資1日,外資3日,外資5日,外資10日,投信1日,投信3日,投信5日,投信10日,自營商1日,自營商3日,自營商5日,自營商10日,技術分數,狀態,綜合判斷,技術面,籌碼面,AI評語
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,6285.TW,啟碁,306.0,310.9,301.25,283.02,13205587,23318385,336.5,222.0,無明顯異常,466343,-910778,4355234,-2914456,270014,-1272248,2939329,2881230,333000,624000,1525000,-5727404,-136671,-262530,-109095,-68282,55,👀觀察,偏多觀察,跌破5日線、多頭排列、量能未放大,5日法人明顯買超、外資投信同步買超,偏多觀察：跌破5日線、多頭排列、量能未放大、5日法人明顯買超、外資投信同步買超。條件不差，適合等待拉回或突破確認。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,6213.TW,聯茂,273.0,274.8,266.05,269.93,26520106,26276561,322.0,230.0,無明顯異常,-7536732,8624099,13935232,13950421,-7246250,8266224,13367750,12912259,118000,115000,44000,-127000,-408482,242875,523482,1165162,40,⚠️整理,整理觀察,跌破5日線、量能溫和放大,5日法人明顯買超、外資投信同步買超,整理觀察：跌破5日線、量能溫和放大、5日法人明顯買超、外資投信同步買超。多空訊號混合，建議降低追價衝動。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,6116.TW,彩晶,20.65,17.32,14.57,12.28,200560076,233594287,20.65,8.39,無明顯異常,14551105,17008140,-1362899,16803068,13971173,14482349,-5991014,13197789,0,0,0,0,579932,2525791,4628115,3605279,40,⚠️整理,整理觀察,站上5日線、多頭排列、量能未放大、突破20日高點,5日法人明顯賣超,整理觀察：站上5日線、多頭排列、量能未放大、突破20日高點、5日法人明顯賣超。多空訊號混合，建議降低追價衝動。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,1409.TW,新纖,27.55,23.01,20.11,18.5,25800849,38924464,27.55,16.6,無明顯異常,-101324,1411927,-413632,19867934,-1353388,-2893388,-5692553,14017799,-4000,-8000,-12000,319000,1256064,4313315,5290921,5531135,30,⚠️整理,整理觀察,站上5日線、多頭排列、量能未放大、突破20日高點,5日法人賣超、外資投信同步賣超,整理觀察：站上5日線、多頭排列、量能未放大、突破20日高點、5日法人賣超、外資投信同步賣超。多空訊號混合，建議降低追價衝動。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2383.TW,台光電,4860.0,5082.0,5029.5,4912.5,2172811,2553339,5635.0,4300.0,無明顯異常,-196630,-192736,300883,1484851,7560,577741,930106,2367165,-141028,-703946,-560048,-692687,-63162,-66531,-69175,-189627,25,⚠️整理,整理觀察,跌破5日線、多頭排列、量能未放大,5日法人買超、外資買投信賣,整理觀察：跌破5日線、多頭排列、量能未放大、5日法人買超、外資買投信賣。多空訊號混合，建議降低追價衝動。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2748.TW,雲品,39.65,39.12,39.18,39.62,89464,158603,42.45,38.5,無明顯異常,23000,97000,66452,-24080,23000,98000,67023,-22977,0,0,0,0,0,-1000,-571,-1103,25,⚠️整理,整理觀察,站上5日線、空頭排列、量能未放大、接近20日低點,法人連續偏買、5日法人小幅買超,整理觀察：站上5日線、空頭排列、量能未放大、接近20日低點、法人連續偏買、5日法人小幅買超。多空訊號混合，建議降低追價衝動。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,5289.TWO,宜鼎,1875.0,1529.0,1331.0,1209.4,4097000,5968800,1950.0,971.0,無明顯異常,27169,-170558,-322749,-1754207,-29043,-646165,-998103,-1526645,73241,452741,656981,-222136,-17029,22866,18373,-5426,25,⚠️整理,整理觀察,站上5日線、多頭排列、量能未放大,5日法人賣超、投信買外資賣,整理觀察：站上5日線、多頭排列、量能未放大、5日法人賣超、投信買外資賣。多空訊號混合，建議降低追價衝動。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,4931.TWO,新盛力,231.0,223.0,214.8,199.38,7792000,12208400,249.5,153.0,無明顯異常,177429,865412,-128264,3056820,227465,867681,-219524,2660079,0,0,0,0,-50036,-2269,91260,396741,25,⚠️整理,整理觀察,站上5日線、多頭排列、量能未放大,5日法人賣超,整理觀察：站上5日線、多頭排列、量能未放大、5日法人賣超。多空訊號混合，建議降低追價衝動。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2331.TW,精英,25.6,22.59,21.5,20.79,36583316,12732709,26.5,18.6,帶量突破20日高點,-5054803,-806673,-938616,-5832004,-5074257,-1166267,-1251662,-6204162,0,-8000,-18000,-68000,19454,367594,331046,440158,15,❌避開,觀望,站上5日線、多頭排列、爆量、帶量突破20日高點,法人連續偏賣、5日法人明顯賣超、外資投信同步賣超,風險偏高：站上5日線、多頭排列、爆量、帶量突破20日高點、法人連續偏賣、5日法人明顯賣超、外資投信同步賣超。目前不適合積極追蹤，等待結構改善。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2327.TW,國巨,846.0,763.4,689.0,556.75,23216094,26855860,847.0,331.0,無明顯異常,1273667,-564007,-2699278,50682,1072706,-2105887,-5496148,-21084617,113000,378110,419110,15968446,87961,1163770,2377760,5166853,5,❌避開,觀望,站上5日線、多頭排列、量能未放大、接近20日高點,中期買超轉短線賣壓、5日法人明顯賣超、投信買外資賣,風險偏高：站上5日線、多頭排列、量能未放大、接近20日高點、中期買超轉短線賣壓、5日法人明顯賣超、投信買外資賣。目前不適合積極追蹤，等待結構改善。
