ticker,buy_sell_1d,buy_sell_3d,buy_sell_5d,buy_sell_10d,foreign_1d,foreign_3d,foreign_5d,foreign_10d,investment_1d,investment_3d,investment_5d,investment_10d,dealer_1d,dealer_3d,dealer_5d,dealer_10d
4938.TW,-5489107,-2540898,2805493,-795191,-3524159,2058424,6362770,-46167008,-1982013,-5302085,-4883227,46180525,17065,702763,1325950,-808708
2354.TW,-1963965,-220896,-348203,-4325957,-1935135,-201178,-416586,-3689912,-1000,-21000,-22000,-31000,-27830,1282,90383,-605045
2305.TW,-238525,-231184,-351189,660327,-176400,-236906,-374906,938305,0,0,0,-2000,-62125,5722,23717,-275978
2328.TW,1221398,1634992,3090932,1643841,1187000,211266,1029154,455051,0,0,0,24000,34398,1423726,2061778,1164790
2355.TW,1022344,580028,-6392820,6283006,1045167,597741,-6259280,6366946,0,0,0,-13000,-22823,-17713,-133540,-70940
2347.TW,-783310,-2614393,-1221719,-2015122,1100743,3739004,6830059,-26331907,-1990921,-6577599,-8409202,22798377,106868,224202,357424,1518408
2404.TW,582451,-188642,-1892506,235682,594713,-1750187,-2628371,1377728,-10000,1537000,859543,-1140644,-2262,24545,-123678,-1402
2449.TW,16669659,33242419,25630831,1055385,20077034,36426377,28650444,7023534,-3900000,-5417082,-5517256,-6364193,492625,2233124,2497643,396044
2492.TW,5884206,-2074909,298494,2607361,3196863,-12275904,-11015071,-7556059,2814000,9437000,9590000,9777000,-126657,763995,1723565,386420
3019.TW,1577965,292156,12326445,11676470,1548757,217980,9922587,9382136,0,0,0,0,29208,74176,2403858,2294334
3023.TW,354619,1015160,1197088,-384506,367382,1121402,1293959,-399398,-32000,-128000,-141228,82533,19237,21758,44357,-67641
3044.TW,64934,1591135,6151651,6746216,287867,2357412,6678333,7537850,-218939,-731962,-602962,-1031522,-3994,-34315,76280,239888
6166.TW,-426271,-522893,-192846,1342849,-418688,-539436,-186468,1413060,0,0,0,0,-7583,16543,-6378,-70211
6187.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8070.TW,1099976,-605653,-3152168,-10955966,1047104,-486314,-2834814,9800829,-3303,-16624,-20827,-20139306,56175,-102715,-296527,-617489
1513.TW,229555,1131681,3425469,4150666,-3769563,-7363904,-5447913,-4007782,3878000,7894783,7967440,7938569,121118,600802,905942,219879
1514.TW,5504118,3721775,2767965,-2061994,5440345,3715751,2815421,-1456245,0,-3000,-6000,-7000,63773,9024,-41456,-598749
1522.TW,-507681,-418273,-268187,-38268,-509000,-423210,-275818,-47627,-1326,-6850,-8156,-12164,2645,11787,15787,21523
2049.TW,-168053,-456188,-428849,889809,-191802,-846,-77418,1485702,0,-631989,-698060,-622814,23749,176647,346629,26921
2105.TW,2970205,5188960,-8091547,-15498964,2686000,4732195,-7336065,-70271093,-1093855,-3204416,290752,54853595,1378060,3661181,-1046234,-81466
2201.TW,-1785606,-2271456,-1333998,-171964,-1768980,-2218804,-1387410,-105708,-1000,-75000,-75000,-98000,-15626,22348,128412,31744
2204.TW,-86487,-866110,-1393054,-1757373,-82000,-835422,-1361916,-1702767,-4487,-23688,-28138,-65605,0,-7000,-3000,10999
2206.TW,-159000,-451914,-1281596,-1854590,-200000,-626664,-1766527,-3639217,41000,180750,480931,1722627,0,-6000,4000,62000
2542.TW,-10333552,-9677394,-6537858,15390819,-10021437,-9784531,-8189748,-24387005,38000,64011,1906011,38652011,-350115,43126,-254121,1125813
2548.TW,-1698573,-3039296,-4502765,-1043832,-1019973,-1586394,-2977922,288468,-397000,-933000,-933000,-1512000,-281600,-519902,-591843,179700
2845.TW,-3033108,1231221,14308714,58591678,-15070172,-22731324,-17658831,26963133,12085064,24061064,31990064,31713064,-48000,-98519,-22519,-84519
